p0,p1
-300|0,-300|-216.937
300|0,300|-214.319
-300|0,-300|-211.701
300|0,300|-209.083
-300|0,-300|-206.465
300|0,300|-203.847
-300|0,-300|-201.229
300|0,300|-198.611
-300|0,-300|-195.993
300|0,300|-193.375
-300|0,-300|-190.757
300|0,300|-188.139
-300|0,-300|-185.521
300|0,300|-182.903
-300|0,-300|-180.285
300|0,300|-177.667
-300|0,-300|-175.049
300|0,300|-172.431
-300|0,-300|-169.813
300|0,300|-167.195
-300|0,-300|-164.577
300|0,300|-161.959
-300|0,-300|-159.341
300|0,300|-156.723
-300|0,-300|-154.105
300|0,300|-151.487
-300|0,-300|-148.869
300|0,300|-146.251
-300|0,-300|-143.633
300|0,300|-141.015
-300|0,-300|-138.397
300|0,300|-135.779
-300|0,-300|-133.161
300|0,300|-130.543
-300|0,-300|-127.925
300|0,300|-125.307
-300|0,-300|-122.689
300|0,300|-120.071
-300|0,-300|-117.453
300|0,300|-114.835
-300|0,-300|-112.217
300|0,300|-109.599
-300|0,-300|-106.981
300|0,300|-104.363
-300|0,-300|-101.745
300|0,300|-99.1266
-300|0,-300|-96.5086
300|0,300|-93.8906
-300|0,-300|-91.2726
300|0,300|-88.6545
-300|0,-300|-86.0365
300|0,300|-83.4185
-300|0,-300|-80.8005
300|0,300|-78.1825
-300|0,-300|-75.5645
300|0,300|-72.9465
-300|0,-300|-70.3285
300|0,300|-67.7105
-300|0,-300|-65.0925
300|0,300|-62.4744
-300|0,-300|-59.8564
300|0,300|-57.2384
-300|0,-300|-54.6204
300|0,300|-52.0024
-300|0,-300|-49.3844
300|0,300|-46.7664
-300|0,-300|-44.1484
300|0,300|-41.5304
-300|0,-300|-38.9123
300|0,300|-36.2943
-300|0,-300|-33.6763
300|0,300|-31.0583
-300|0,-300|-28.4403
300|0,300|-25.8223
-300|0,-300|-23.2043
300|0,300|-20.5863
-300|0,-300|-17.9683
300|0,300|-15.3503
-300|0,-300|-12.7322
300|0,300|-10.1142
-300|0,-300|-7.49622
300|0,300|-4.87821
-300|0,-300|-2.2602
300|0,300|0.357811
-300|0,-300|2.97582
300|0,300|5.59383
-300|0,-300|8.21184
300|0,300|10.8299
-300|0,-300|13.4479
300|0,300|16.0659
-300|0,-300|18.6839
300|0,300|21.3019
-300|0,-300|23.9199
300|0,300|26.5379
-300|0,-300|29.1559
300|0,300|31.7739
-300|0,-300|34.3919
300|0,300|37.01
-300|0,-300|39.628
300|0,300|42.246
-300|0,-300|44.864
300|0,300|47.482
-300|0,-300|50.1
300|0,300|52.718
-300|0,-300|55.336
300|0,300|57.954
-300|0,-300|60.5721
300|0,300|63.1901
-300|0,-300|65.8081
300|0,300|68.4261
-300|0,-300|71.0441
300|0,300|73.6621
-300|0,-300|76.2801
300|0,300|78.8981
-300|0,-300|81.5161
300|0,300|84.1341
-300|0,-300|86.7522
300|0,300|89.3702
-300|0,-300|91.9882
300|0,300|94.6062
-300|0,-300|97.2242
300|0,300|99.8422
-300|0,-300|102.46
300|0,300|105.078
-300|0,-300|107.696
300|0,300|110.314
-300|0,-300|112.932
300|0,300|115.55
-300|0,-300|118.168
300|0,300|120.786
-300|0,-300|123.404
300|0,300|126.022
-300|0,-300|128.64
300|0,300|131.258
-300|0,-300|133.876
300|0,300|136.494
-300|0,-300|139.112
300|0,300|141.73
-300|0,-300|144.348
300|0,300|146.966
-300|0,-300|149.584
300|0,300|152.202
-300|0,-300|154.82
300|0,300|157.438
-300|0,-300|160.056
300|0,300|162.674
-300|0,-300|165.292
300|0,300|167.91
-300|0,-300|170.528
300|0,300|173.147
-300|0,-300|175.765
300|0,300|178.383
-300|0,-300|181.001
300|0,300|183.619
-300|0,-300|186.237
300|0,300|188.855
-300|0,-300|191.473
300|0,300|194.091
-300|0,-300|196.709
300|0,300|199.327
-300|0,-300|201.945
300|0,300|204.563
-300|0,-300|207.181
300|0,300|209.799
-300|0,-300|212.417
300|0,300|215.035
-300|0,-300|217.653
300|0,300|220.271
-300|0,-300|222.889
300|0,300|225.507
-300|0,-300|228.125
300|0,300|230.743
-300|0,-300|233.361
300|0,300|235.979
-300|0,-300|238.597
300|0,300|241.215
-300|0,-300|243.833
300|0,300|246.451
-300|0,-300|249.069
300|0,300|251.687
-300|0,-300|254.305
300|0,300|256.923
-300|0,-300|259.541
300|0,300|262.159
-300|0,-300|264.777
300|0,300|267.395
-300|0,-300|270.013
300|0,300|272.631
-300|0,-300|275.249
300|0,300|277.867
-300|0,-300|280.485
300|0,300|283.103
-300|0,-300|285.721
300|0,300|288.339
-300|0,-300|290.957
300|0,300|293.575
-300|0,-300|296.193
300|0,300|298.811
-300|0,27.5046|300
300|0,-300|298.571
-300|0,300|295.953
300|0,-300|293.335
-300|0,300|290.717
300|0,-300|288.099
-300|0,300|285.481
300|0,-300|282.863
-300|0,300|280.245
300|0,-300|277.627
-300|0,300|275.009
300|0,-300|272.391
-300|0,300|269.773
300|0,-300|267.155
-300|0,300|264.537
300|0,-300|261.919
-300|0,300|259.301
300|0,-300|256.683
-300|0,300|254.065
300|0,-300|251.447
-300|0,300|248.829
300|0,-300|246.211
-300|0,300|243.593
300|0,-300|240.975
-300|0,300|238.357
300|0,-300|235.739
-300|0,300|233.121
300|0,-300|230.503
-300|0,300|227.885
300|0,-300|225.267
-300|0,300|222.649
300|0,-300|220.031
-300|0,300|217.413
300|0,-300|214.795
-300|0,300|212.177
300|0,-300|209.559
-300|0,300|206.941
300|0,-300|204.323
-300|0,300|201.705
300|0,-300|199.087
-300|0,300|196.469
300|0,-300|193.851
-300|0,300|191.233
300|0,-300|188.615
-300|0,300|185.997
300|0,-300|183.379
-300|0,300|180.761
300|0,-300|178.142
-300|0,300|175.524
300|0,-300|172.906
-300|0,300|170.288
300|0,-300|167.67
-300|0,300|165.052
300|0,-300|162.434
-300|0,300|159.816
300|0,-300|157.198
-300|0,300|154.58
300|0,-300|151.962
-300|0,300|149.344
300|0,-300|146.726
-300|0,300|144.108
300|0,-300|141.49
-300|0,300|138.872
300|0,-300|136.254
-300|0,300|133.636
300|0,-300|131.018
-300|0,300|128.4
300|0,-300|125.782
-300|0,300|123.164
300|0,-300|120.546
-300|0,300|117.928
300|0,-300|115.31
-300|0,300|112.692
300|0,-300|110.074
-300|0,300|107.456
300|0,-300|104.838
-300|0,300|102.22
300|0,-300|99.6022
-300|0,300|96.9842
300|0,-300|94.3662
-300|0,300|91.7482
300|0,-300|89.1301
-300|0,300|86.5121
300|0,-300|83.8941
-300|0,300|81.2761
300|0,-300|78.6581
-300|0,300|76.0401
300|0,-300|73.4221
-300|0,300|70.8041
300|0,-300|68.1861
-300|0,300|65.568
300|0,-300|62.95
-300|0,300|60.332
300|0,-300|57.714
-300|0,300|55.096
300|0,-300|52.478
-300|0,300|49.86
300|0,-300|47.242
-300|0,300|44.624
300|0,-300|42.006
-300|0,300|39.3879
300|0,-300|36.7699
-300|0,300|34.1519
300|0,-300|31.5339
-300|0,300|28.9159
300|0,-300|26.2979
-300|0,300|23.6799
300|0,-300|21.0619
-300|0,300|18.4439
300|0,-300|15.8258
-300|0,300|13.2078
300|0,-300|10.5898
-300|0,300|7.97182
300|0,-300|5.35381
-300|0,300|2.7358
300|0,-300|0.117786
-300|0,300|-2.50022
300|0,-300|-5.11823
-300|0,300|-7.73625
300|0,-300|-10.3543
-300|0,300|-12.9723
300|0,-300|-15.5903
-300|0,300|-18.2083
300|0,-300|-20.8263
-300|0,300|-23.4443
300|0,-300|-26.0623
-300|0,300|-28.6803
300|0,-300|-31.2983
-300|0,300|-33.9163
300|0,-300|-36.5344
-300|0,300|-39.1524
300|0,-300|-41.7704
-300|0,300|-44.3884
300|0,-300|-47.0064
-300|0,300|-49.6244
300|0,-300|-52.2424
-300|0,300|-54.8604
300|0,-300|-57.4784
-300|0,300|-60.0965
300|0,-300|-62.7145
-300|0,300|-65.3325
300|0,-300|-67.9505
-300|0,300|-70.5685
300|0,-300|-73.1865
-300|0,300|-75.8045
300|0,-300|-78.4225
-300|0,300|-81.0405
300|0,-300|-83.6585
-300|0,300|-86.2766
300|0,-300|-88.8946
-300|0,300|-91.5126
300|0,-300|-94.1306
-300|0,300|-96.7486
300|0,-300|-99.3666
-300|0,300|-101.985
300|0,-300|-104.603
-300|0,300|-107.221
300|0,-300|-109.839
-300|0,300|-112.457
300|0,-300|-115.075
-300|0,300|-117.693
300|0,-300|-120.311
-300|0,300|-122.929
300|0,-300|-125.547
-300|0,300|-128.165
300|0,-300|-130.783
-300|0,300|-133.401
300|0,-300|-136.019
-300|0,300|-138.637
300|0,-300|-141.255
-300|0,300|-143.873
300|0,-300|-146.491
-300|0,300|-149.109
300|0,-300|-151.727
-300|0,300|-154.345
300|0,-300|-156.963
-300|0,300|-159.581
300|0,-300|-162.199
-300|0,300|-164.817
300|0,-300|-167.435
-300|0,300|-170.053
300|0,-300|-172.671
-300|0,300|-175.289
300|0,-300|-177.907
-300|0,300|-180.525
300|0,-300|-183.143
-300|0,300|-185.761
300|0,-300|-188.379
-300|0,300|-190.997
300|0,-300|-193.615
-300|0,300|-196.233
300|0,-300|-198.851
-300|0,300|-201.469
300|0,-300|-204.087
-300|0,300|-206.705
300|0,-300|-209.323
-300|0,300|-211.941
300|0,-300|-214.559
-300|0,300|-217.177
300|0,-300|-219.795
-300|0,300|-222.413
300|0,-300|-225.031
-300|0,300|-227.649
300|0,-300|-230.267
-300|0,300|-232.885
300|0,-300|-235.503
-300|0,300|-238.121
300|0,-300|-240.739
-300|0,300|-243.357
300|0,-300|-245.975
-300|0,300|-248.593
300|0,-300|-251.211
-300|0,300|-253.829
300|0,-300|-256.447
-300|0,300|-259.065
300|0,-300|-261.683
-300|0,300|-264.301
300|0,-300|-266.919
-300|0,300|-269.537
300|0,-300|-272.155
-300|0,300|-274.773
300|0,-300|-277.391
-300|0,300|-280.009
300|0,-300|-282.627
-300|0,300|-285.245
300|0,-300|-287.863
-300|0,300|-290.481
300|0,-300|-293.099
-300|0,300|-295.717
300|0,-300|-298.335
-300|0,81.4936|-300
300|0,300|-299.047
-300|0,-300|-296.429
300|0,300|-293.811
-300|0,-300|-291.193
300|0,300|-288.575
-300|0,-300|-285.957
300|0,300|-283.339
-300|0,-300|-280.721
300|0,300|-278.102
-300|0,-300|-275.484
300|0,300|-272.866
-300|0,-300|-270.248
300|0,300|-267.63
-300|0,-300|-265.012
300|0,300|-262.394
-300|0,-300|-259.776
300|0,300|-257.158
-300|0,-300|-254.54
300|0,300|-251.922
-300|0,-300|-249.304
300|0,300|-246.686
-300|0,-300|-244.068
300|0,300|-241.45
-300|0,-300|-238.832
300|0,300|-236.214
-300|0,-300|-233.596
300|0,300|-230.978
-300|0,-300|-228.36
300|0,300|-225.742
-300|0,-300|-223.124
300|0,300|-220.506
-300|0,-300|-217.888
300|0,300|-215.27
-300|0,-300|-212.652
300|0,300|-210.034
-300|0,-300|-207.416
300|0,300|-204.798
-300|0,-300|-202.18
300|0,300|-199.562
-300|0,-300|-196.944
300|0,300|-194.326
-300|0,-300|-191.708
300|0,300|-189.09
-300|0,-300|-186.472
300|0,300|-183.854
-300|0,-300|-181.236
300|0,300|-178.618
-300|0,-300|-176
300|0,300|-173.382
-300|0,-300|-170.764
300|0,300|-168.146
-300|0,-300|-165.528
300|0,300|-162.91
-300|0,-300|-160.292
300|0,300|-157.674
-300|0,-300|-155.056
300|0,300|-152.438
-300|0,-300|-149.82
300|0,300|-147.202
-300|0,-300|-144.584
300|0,300|-141.966
-300|0,-300|-139.348
300|0,300|-136.73
-300|0,-300|-134.112
300|0,300|-131.494
-300|0,-300|-128.876
300|0,300|-126.258
-300|0,-300|-123.64
300|0,300|-121.022
-300|0,-300|-118.404
300|0,300|-115.786
-300|0,-300|-113.168
300|0,300|-110.55
-300|0,-300|-107.932
300|0,300|-105.314
-300|0,-300|-102.696
300|0,300|-100.078
-300|0,-300|-97.4598
300|0,300|-94.8418
-300|0,-300|-92.2238
300|0,300|-89.6057
-300|0,-300|-86.9877
300|0,300|-84.3697
-300|0,-300|-81.7517
300|0,300|-79.1337
-300|0,-300|-76.5157
300|0,300|-73.8977
-300|0,-300|-71.2797
300|0,300|-68.6617
-300|0,-300|-66.0436
300|0,300|-63.4256
-300|0,-300|-60.8076
300|0,300|-58.1896
-300|0,-300|-55.5716
300|0,300|-52.9536
-300|0,-300|-50.3356
300|0,300|-47.7176
-300|0,-300|-45.0996
300|0,300|-42.4816
-300|0,-300|-39.8635
300|0,300|-37.2455
-300|0,-300|-34.6275
300|0,300|-32.0095
-300|0,-300|-29.3915
300|0,300|-26.7735
-300|0,-300|-24.1555
300|0,300|-21.5375
-300|0,-300|-18.9195
300|0,300|-16.3014
-300|0,-300|-13.6834
300|0,300|-11.0654
-300|0,-300|-8.44742
300|0,300|-5.8294
-300|0,-300|-3.21139
300|0,300|-0.593384
-300|0,-300|2.02463
300|0,300|4.64264
-300|0,-300|7.26065
300|0,300|9.87866
-300|0,-300|12.4967
300|0,300|15.1147
-300|0,-300|17.7327
300|0,300|20.3507
-300|0,-300|22.9687
300|0,300|25.5867
-300|0,-300|28.2047
300|0,300|30.8227
-300|0,-300|33.4408
300|0,300|36.0588
-300|0,-300|38.6768
300|0,300|41.2948
-300|0,-300|43.9128
300|0,300|46.5308
-300|0,-300|49.1488
300|0,300|51.7668
-300|0,-300|54.3848
300|0,300|57.0028
-300|0,-300|59.6209
300|0,300|62.2389
-300|0,-300|64.8569
300|0,300|67.4749
-300|0,-300|70.0929
300|0,300|72.7109
-300|0,-300|75.3289
300|0,300|77.9469
-300|0,-300|80.5649
300|0,300|83.183
-300|0,-300|85.801
300|0,300|88.419
-300|0,-300|91.037
300|0,300|93.655
-300|0,-300|96.273
300|0,300|98.891
-300|0,-300|101.509
300|0,300|104.127
-300|0,-300|106.745
300|0,300|109.363
-300|0,-300|111.981
300|0,300|114.599
-300|0,-300|117.217
300|0,300|119.835
-300|0,-300|122.453
300|0,300|125.071
-300|0,-300|127.689
300|0,300|130.307
-300|0,-300|132.925
300|0,300|135.543
-300|0,-300|138.161
300|0,300|140.779
-300|0,-300|143.397
300|0,300|146.015
-300|0,-300|148.633
300|0,300|151.251
-300|0,-300|153.869
300|0,300|156.487
-300|0,-300|159.105
300|0,300|161.723
-300|0,-300|164.341
300|0,300|166.959
-300|0,-300|169.577
300|0,300|172.195
-300|0,-300|174.813
300|0,300|177.431
-300|0,-300|180.049
300|0,300|182.667
-300|0,-300|185.285
300|0,300|187.903
-300|0,-300|190.521
300|0,300|193.139
-300|0,-300|195.757
300|0,300|198.375
-300|0,-300|200.993
300|0,300|203.611
-300|0,-300|206.229
