p0,p1
166.961|-200,-65.2097|-200
166.961|-200,-59.9655|200
-339.752|143.071,-54.7213|-200
-119.036|-200,-49.4771|200
138.307|200,-44.2329|-200
138.307|200,-38.9887|200
138.307|200,-33.7445|-200
351.201|-130.913,-28.5003|200
-306.566|169.245,-23.2561|-200
-312.857|-165.116,-18.0119|200
364.534|113.705,-12.7677|-200
71.2|-200,-7.52352|200
-285.066|181.008,-2.27933|-200
-236.931|-196.561,2.96487|200
-21.1907|200,8.20906|-200
196.421|-200,13.4533|200
365.953|111.623,18.6975|-200
-398.313|25.9197,23.9416|200
181.408|-200,29.1858|-200
181.408|-200,34.43|200
181.408|-200,39.6742|-200
347.209|-135.387,44.9184|200
397.197|33.3696,50.1626|-200
294.468|176.283,55.4068|200
-241.017|195.749,60.651|-200
-327.666|153.953,65.8952|200
-384.776|76.536,71.1394|-200
-399.134|-18.589,76.3836|200
-367.418|-109.413,81.6278|-200
-296.966|-174.922,86.872|200
-204.078|-199.958,92.1162|-200
388.862|-65.8119,97.3604|200
174.925|200,102.605|-200
-147.012|-200,107.849|200
-379.299|88.6108,113.093|-200
387.53|69.5159,118.337|200
89.3044|-200,123.581|-200
-313.906|164.394,128.826|200
-170.073|-200,134.07|-200
-12.1846|200,139.314|200
145.703|-200,144.558|-200
294.271|176.389,149.802|200
33.6022|-200,155.047|-200
33.6022|-200,160.291|200
33.6022|-200,165.535|-200
-240.543|195.847,170.779|200
-312.768|-165.177,176.023|-200
247.715|194.225,181.267|200
391.518|-57.6263,186.512|-200
109.446|-200,191.756|200
-392.721|53.4654,197|-200
399.934|-5.14029,202.244|199.987
-398.67|-23.0265,198.511|-200
347.742|134.805,194.779|200
245.862|-194.671,191.046|-200
-131.232|200,187.313|200
-387.868|-68.5987,183.58|-200
335.599|-147.014,179.847|200
327.396|154.176,176.114|-200
-396.824|35.5011,172.381|200
15.132|-200,168.649|-200
399.05|19.4726,164.916|200
-137.983|200,161.183|-200
-354.257|127.298,157.45|200
-382.356|-82.1352,153.717|-200
-206.892|-199.881,149.984|200
356.642|124.351,146.251|-200
53.9127|-200,142.519|200
53.9127|-200,138.786|-200
53.9127|-200,135.053|200
-296.339|175.268,131.32|-200
-198.819|-200,127.587|200
-94.8708|200,123.854|-200
9.07694|-200,120.122|200
113.025|200,116.389|-200
216.789|-199.294,112.656|200
250.712|193.464,108.923|-200
71.8963|-200,105.19|200
-109.89|200,101.457|-200
-283.397|-181.783,97.7244|200
-106.595|200,93.9915|-200
78.6429|-200,90.2587|200
259.664|190.893,86.5258|-200
191.69|-200,82.793|200
122.133|200,79.0601|-200
122.133|200,75.3273|200
122.133|200,71.5944|-200
52.5763|-200,67.8616|200
-16.9807|200,64.1287|-200
-16.9807|200,60.3959|200
-16.9807|200,56.663|-200
-86.5377|-200,52.9302|200
-156.095|200,49.1973|-200
-156.095|200,45.4645|200
-156.095|200,41.7316|-200
-225.371|-198.384,37.9988|200
-192.541|200,34.2659|-200
-159.578|-200,30.5331|200
-126.614|200,26.8002|-200
-93.6512|-200,23.0674|200
-60.6881|200,19.3345|-200
-27.7249|-200,15.6017|200
5.23828|200,11.8688|-200
38.2014|-200,8.13596|200
71.1646|200,4.40311|-200
104.128|-200,0.670259|200
137.091|200,-3.06259|-200
170.054|-200,-6.79544|200
203.015|199.977,-10.5283|-200
223.786|-198.581,-14.2611|200
148.636|200,-17.994|-200
73.2188|-200,-21.7268|200
-2.19858|200,-25.4597|-200
-77.6159|-200,-29.1926|200
-153.033|200,-32.9254|-200
-228.077|-198.019,-36.6583|200
-190.012|200,-40.3911|-200
-190.012|200,-44.124|200
-190.012|200,-47.8568|-200
-151.757|-200,-51.5897|200
-113.503|200,-55.3225|-200
-75.2482|-200,-59.0554|200
-36.9937|200,-62.7882|-200
1.26093|-200,-66.5211|200
39.5155|200,-70.2539|-200
77.7701|-200,-73.9868|200
116.025|200,-77.7196|-200
154.279|-200,-81.4525|200
192.534|200,-85.1853|-200
230.564|-197.651,-88.9182|200
145.186|200,-92.651|-200
59.3046|-200,-96.3839|200
-26.5772|200,-100.117|-200
-112.459|-200,-103.85|200
-198.341|200,-107.582|-200
-280.583|-183.048,-111.315|200
-8.33264|200,-115.048|-200
-8.33264|200,-118.781|200
-8.33264|200,-122.514|-200
267.6|-188.229,-126.247|200
240.014|195.956,-129.98|-200
36.6152|-200,-133.712|200
-168.861|200,-137.445|-200
-343.278|-139.54,-141.178|200
303.28|171.27,-144.911|-200
315.796|-163.068,-148.644|200
-369.926|105.475,-152.377|-200
-33.8634|-200,-156.109|200
-33.8634|-200,-159.842|-200
-33.8634|-200,-163.575|200
341.575|141.267,-167.308|-200
30.0084|-200,-171.041|200
30.0084|-200,-174.774|-200
30.0084|-200,-178.507|200
-306.906|169.03,-182.239|-200
-156.092|-200,-185.972|200
7.37776|200,-189.705|-200
170.848|-200,-193.438|200
318.443|161.156,-197.171|-200
-118.122|-200,-200.904|199.998
-118.122|-200,-201.022|-199.997
-118.122|-200,-197.053|200
-397.557|31.1674,-193.084|-200
27.3664|200,-189.115|200
27.3664|200,-185.147|-200
27.3664|200,-181.178|200
392.287|55.008,-177.209|-200
204.299|-199.954,-173.24|200
-118.022|200,-169.271|-200
-367.399|-109.442,-165.303|200
377.036|93.0497,-161.334|-200
30.699|-200,-157.365|200
30.699|-200,-153.396|-200
30.699|-200,-149.427|200
-355.018|126.37,-145.459|-200
60.6513|-200,-141.49|200
390.985|59.3681,-137.521|-200
-368.844|107.199,-133.552|200
-200.107|-200,-129.583|-200
20.1604|200,-125.615|200
238.381|-196.283,-121.646|-200
282.902|182.009,-117.677|200
-64.27|-200,-113.708|-200
-357.756|122.935,-109.739|200
239.229|-196.115,-105.771|-200
399.999|0.622208,-101.802|200
238.008|196.355,-97.8331|-200
-355.599|-125.654,-93.8643|200
-76.1556|200,-89.8955|-200
259.352|-190.99,-85.9267|200
298.412|174.113,-81.9579|-200
-195.277|-200,-77.9891|200
-195.277|-200,-74.0203|-200
-195.277|-200,-70.0515|200
-393.753|-49.5974,-66.0828|-200
-291.991|177.588,-62.114|200
395.39|42.6938,-58.1452|-200
58.3208|-200,-54.1764|200
-368.685|107.449,-50.2076|-200
180.565|-200,-46.2388|200
379.2|-88.8116,-42.27|-200
347.612|134.948,-38.3012|200
69.5555|200,-34.3324|-200
-375.524|95.8717,-30.3636|200
-275.782|-185.087,-26.3948|-200
357.803|122.875,-22.426|200
85.8235|-200,-18.4573|-200
-246.506|194.518,-14.4885|200
-328.24|-153.475,-10.5197|-200
344.407|138.371,-6.55088|200
180.099|-200,-2.58209|-200
-14.1349|200,1.38671|200
-208.286|-199.828,5.3555|-200
-340.625|142.214,9.32429|200
348.906|-133.518,13.2931|-200
171.326|200,17.2619|200
171.326|200,21.2307|-200
171.326|200,25.1995|200
-41.6516|-200,29.1682|-200
-251.095|193.363,33.137|200
-240.421|-195.873,37.1058|-200
-56.7381|200,41.0746|200
128.86|-200,45.0434|-200
128.86|-200,49.0122|200
128.86|-200,52.981|-200
301.594|172.275,56.9498|200
29.4668|-200,60.9186|-200
29.4668|-200,64.8874|200
29.4668|-200,68.8562|-200
-256.888|191.739,72.825|200
-277.363|-184.431,76.7937|-200
73.6386|200,80.7625|200
73.6386|200,84.7313|-200
73.6386|200,88.7001|200
362.588|-116.469,92.6689|-200
-299.801|173.32,96.6377|200
-336.245|-146.415,100.607|-200
399.826|-8.34688,104.575|200
-285.877|180.625,108.544|-200
-391.158|-58.8091,112.513|200
-165.764|-200,116.482|-200
355.095|126.275,120.45|200
42.6421|-200,124.419|-200
-309.289|167.499,128.388|200
-157.167|-200,132.357|-200
8.40723|200,136.326|200
173.982|-200,140.294|-200
173.982|-200,144.263|200
173.982|-200,148.232|-200
322.28|158.264,152.201|200
-151.352|-200,156.17|-200
-151.352|-200,160.138|200
-151.352|-200,164.107|-200
-399.628|-12.1999,168.076|200
-180.646|200,172.045|-200
229.83|-197.763,176.014|200
382.807|81.127,179.982|-200
-116.46|200,183.951|200
-334.401|148.109,187.92|-200
-397.033|-34.3204,191.889|200
-276.408|-184.829,195.858|-200
364.849|-113.247,199.826|200
288.31|179.447,203.795|-199.964
-372.959|-100.425,192.582|200
20.8121|200,192.582|200
384.413|-77.4069,192.582|200
-396.885|35.161,181.368|-200
355.703|-125.526,170.153|200
208.798|199.806,158.939|-200
-15.9691|-200,147.725|200
-15.9691|-200,136.511|-200
-15.9691|-200,125.297|200
-238.718|196.216,114.083|-200
-285.16|-180.963,102.869|200
74.888|200,91.6547|-200
367.376|-109.478,80.4406|200
-338.647|144.143,69.2265|-200
-230.67|-197.634,58.0124|200
49.5701|200,46.7983|-200
308.797|-167.819,35.5841|200
90.0915|200,24.37|-200
-147.749|-200,13.1559|200
-147.749|-200,1.94183|-200
-147.749|-200,-9.27227|200
-347.185|135.412,-20.4864|-200
293.714|-176.685,-31.7005|200
339.548|143.27,-42.9146|-200
-399.232|17.5154,-54.1287|200
207.573|-199.857,-65.3428|-200
343.693|-139.113,-76.5569|200
399.997|-1.09782,-87.771|-200
345.211|137.527,-98.9851|200
209.767|199.761,-110.199|-200
-399.695|-11.0422,-121.413|200
304.673|-170.422,-132.627|-200
372.9|100.526,-143.842|200
14.6397|200,-155.056|-200
-378.126|90.9457,-166.27|200
-275.496|-185.203,-177.484|-200
362.928|115.993,-188.698|200
53.9067|-200,-199.912|-200
-306.953|169,-211.118|199.691
-170.493|-200,-177.784|-200
-22.5682|200,-144.426|200
125.356|-200,-144.426|200
268.771|187.805,-144.426|200
128.168|-200,-111.067|-200
-16.8566|200,-77.708|200
-161.881|-200,-77.708|200
-297.671|174.529,-77.708|200
0.629522|-200,-44.3491|-200
298.54|174.04,-10.9903|200
158.69|-200,-10.9903|200
9.13476|200,-10.9903|200
-140.421|-200,22.3685|-200
-283.199|181.873,55.7273|200
-74.442|-200,55.7273|200
144.225|200,55.7273|200
334.483|-148.034,89.0862|-200
-178.478|200,122.445|200
-392.312|54.9178,122.445|200
-288.065|-179.567,122.445|200
399.704|-10.8691,155.804|-200
-179.27|200,189.163|200
-342.168|140.671,189.163|200
-398.946|-20.5084,189.163|200
-310.481|-166.715,222.416|-198.74
-80.6671|-200,165.643|200
344.336|-138.445,108.69|-200
369.428|106.275,51.7373|200
111.208|200,-5.21561|-200
-399.463|14.6427,-62.1685|200
-1.60104|-200,-119.121|-200
-1.60104|-200,-176.074|200
-1.60104|-200,-232.645|-197.318
399.335|16.3008,-157.679|200
-134.276|200,-82.2076|-200
-357.617|123.113,-6.73574|200
-376.543|-93.9812,-6.73574|200
-184.975|-200,-6.73574|200
369.173|106.679,68.7361|-200
-60.6306|-200,144.208|200
-396.089|39.3603,144.208|200
264.078|189.457,144.208|200
397.894|28.9489,219.5|-199.047
315.661|-163.164,215.985|199.36
-219.508|-199.046,147.908|-200
-282.826|-182.044,79.7222|200
-337.243|-145.479,79.7222|200
-376.913|-93.2828,79.7222|200
-397.573|-31.0624,11.5363|-200
-397.003|34.4957,-56.6496|200
-375.263|96.3472,-124.835|-200
-334.691|147.846,-193.021|200
-279.645|183.457,-259.655|-190.896
-216.042|199.356,-77.0925|200
328.424|153.321,109.722|-200
387.717|-69.0093,287.193|179.993
198.529|-200,96.4169|-200
-320.677|159.49,-104.404|200
-197.432|-200,-293.56|-176.767
-60.2994|200,-83.6456|200
76.8332|-200,139.213|-200
213.802|199.523,139.213|-200
287.596|-179.797,139.213|-200
-41.8719|200,333.576|148.854
-339.605|-143.215,-158.819|-200
36.2153|200,-397.611|-30.8199
370.21|-105.018,-225.162|198.411
-320.735|159.446,261.812|-190.208
-289.895|-178.659,350.507|131.711
293.32|176.894,-397.823|29.4276
311.323|-166.154,100.868|-200
-340.186|142.646,388.144|-67.8355
-185.022|-200,264.753|189.227
-3.88538|200,-358.172|-122.399
-3.88538|200,-76.8343|200
-3.88538|200,263.261|-189.732
177.251|-200,290.487|178.359
177.251|-200,-153.609|-200
177.251|-200,-399.764|9.71874
334.746|147.795,-126.592|200
-260.016|-190.783,350.17|-132.095
-385.839|73.9177,49.1751|200
-60.7106|200,-292.713|-177.213
398.808|21.8021,-205.318|199.929
66.3869|-200,-89.9297|-200
-375.929|95.1271,25.4785|200
278.604|-183.906,25.4785|200
380.358|86.4355,25.4785|200
34.1871|200,140.887|-200
-390.582|60.6506,140.887|-200
-197.49|-200,140.887|-200
98.8322|200,254.14|192.533
98.8322|200,146.622|-200
98.8322|200,37.0575|200
347.253|-135.338,37.0575|200
-195.648|200,37.0575|200
-195.648|200,-72.5066|-200
-195.648|200,-182.071|200
-380.713|85.6895,-182.071|200
-352.11|-129.856,-182.071|200
-116.583|-200,-286.276|-180.434
394.183|-47.8857,-11.9792|200
140.076|200,267.868|-188.133
-260.392|-190.664,241.835|195.576
-325.032|156.099,31.2447|-200
349.657|-132.675,-181.701|200
157.155|200,-181.701|200
-74.3045|-200,-181.701|200
-292.61|177.267,-355.278|-126.051
-115.788|-200,380.031|87.1143
71.6889|200,-22.8376|-200
255.486|-192.149,-390.207|61.8153
206.644|199.89,392.412|54.5671
129.573|-200,-11.8842|-200
52.4809|200,-11.8842|-200
-24.6111|-200,-11.8842|-200
-101.703|200,-395.621|41.6218
-178.795|-200,335.94|146.698
-254.432|192.45,315.264|-163.445
-106.319|-200,-396.366|37.9502
44.6443|200,394.585|-46.225
195.607|-200,-245.051|194.86
328.826|152.983,-397.174|33.5005
-256.932|-191.726,-306.88|-169.047
-387.251|70.2631,327.721|-153.907
-72.7598|200,379.25|88.7101
399.938|4.99866,144.324|200
-34.0956|-200,-392.487|-54.3007
-34.0956|-200,397.589|30.9633
-34.0956|-200,-356.483|-124.551
-398.014|-28.1174,-207.841|199.846
-139.679|200,14.8161|-200
289.412|-178.901,14.8161|-200
259.954|190.802,14.8161|-200
-61.5479|-200,235.764|196.776
-61.5479|-200,291.793|-177.691
-61.5479|-200,-101.109|200
-341.971|140.869,-385.9|-73.7652
79.017|-200,382.605|-81.5815
392.599|53.9037,125.162|200
-330.058|151.937,-237.333|-196.485
-336.039|-146.606,-358.877|121.483
384.097|-78.1546,394.654|45.9347
162.328|200,5.33796|-200
-156.587|-200,-393.188|51.753
-156.587|-200,382.091|82.721
-156.587|-200,114.507|-200
-382.057|82.796,-256.396|191.884
363.167|115.657,-322.342|-158.216
237.958|-196.365,331.993|150.259
-141.424|200,219.609|-199.036
-390.663|-60.3954,-2.38709|200
265.177|-189.082,-224.108|-198.542
396.497|-37.2692,-321.496|158.867
329.886|152.085,268.756|-187.81
68.2471|200,371.115|103.536
-358.614|121.827,-249.078|193.885
-337.256|-145.468,-371.777|102.434
320.38|-159.714,-393.908|-48.9879
383.412|79.7507,-302.514|-171.729
159.641|200,-109.708|-200
-378.905|-89.4033,349.689|-132.639
238.041|196.349,356.121|125.005
398.334|25.7633,-22.565|200
286.943|-180.114,-346.847|135.779
-390.787|-60.0033,-374.373|-97.9494
-130.484|200,-151.838|-200
260.572|-190.607,393.614|50.1349
320.857|159.353,-399.703|-10.9006
-331.513|-150.679,399.444|14.9002
-220.275|198.97,-384.526|-77.1384
3.4778|-200,-38.322|200
226.797|198.197,360.533|-119.286
316.055|-162.884,-103.131|200
-238.22|196.314,-399.952|-4.3952
-397.57|-31.0847,-87.3246|-200
-174.194|-200,378.018|91.1562
310.626|166.619,-286.881|-180.143
217.644|-199.22,-370.279|104.905
36.6933|200,146.878|200
-144.611|-200,303.348|171.228
-310.749|166.538,390.747|60.1292
29.447|-200,382.86|-81.0067
343.946|138.851,283.628|-181.677
-48.6002|-200,23.0499|-200
-380.377|86.3945,-291.411|-177.888
392.235|-55.1891,-391.811|-56.6454
-240.267|195.905,-373.385|99.6883
-395.737|41.0712,-247.548|194.266
-315.616|-163.196,378.406|90.3958
277.423|-184.406,232.857|-197.283
390.661|-60.4003,-174.938|200
369.482|106.188,-174.938|200
228.816|197.913,-174.938|200
-399.682|11.271,-399.149|-18.4308
98.0207|-200,-126.659|-200
383.885|-78.6528,357.835|122.834
286.023|180.555,0.627636|-200
-394.763|-45.4702,-357.315|123.499
389.62|63.5934,119.409|-200
-82.718|-200,399.762|-9.75621
-398.588|-23.7256,147.579|200
-156.901|200,147.579|200
-156.901|200,147.579|200
-156.901|200,-300.656|-172.825
263.89|-189.521,-234.193|197.055
324.588|156.454,-6.11252|-200
-352.499|-129.399,-6.11252|-200
-144.603|200,-6.11252|-200
107.851|-200,222.903|198.684
330.002|151.985,328.615|-153.161
-72.4507|-200,-309.381|167.439
-385.788|74.0455,-291.341|-177.923
395.354|42.8587,275.285|185.289
-80.5753|-200,349.426|-132.936
-396.169|-38.9578,-393.863|-49.1636
-192.074|200,-36.5725|200
149.567|-200,378.78|-89.654
385.095|75.761,-335.1|147.472
-343.558|139.252,-254.362|-192.47
-307.235|-168.822,136.801|200
389.685|63.3989,391.988|-56.0401
-305.757|-169.751,-238.145|-196.329
-346.657|135.985,-369.772|-105.723
376.34|94.3617,-393.021|52.3728
203.648|-199.967,-293.05|177.036
-51.0774|200,21.1565|200
-291.66|-177.76,285.807|180.658
-138.551|200,385.251|75.3784
-138.551|200,387.564|-69.4235
-138.551|200,291.533|-177.825
23.5712|-200,80.9163|-200
185.694|200,-323.343|-157.437
328.777|-153.025,-395.476|42.2978
-233.786|197.126,-247.224|194.345
-399.73|-10.3802,398.925|-20.7118
-213.17|-199.566,-368.088|-108.382
279.712|183.428,-183.573|200
311.367|-166.125,55.7594|-200
-317.981|161.495,55.7594|-200
-256.967|-191.715,55.7594|-200
107.021|200,284.02|181.496
377.858|-91.4688,154.234|-200
-399.816|8.57318,18.1527|200
395.51|42.1414,-117.929|-200
-206.266|-199.902,-251.698|193.203
-351.417|-130.664,-174.039|-200
-398.666|23.0572,-95.0388|200
-317.465|161.87,-16.0381|-200
-142.017|200,62.9625|200
380.338|86.4771,141.963|-200
239.463|-196.068,220.751|198.921
-219.282|199.068,215.617|-199.389
-398.016|-28.1014,147.381|200
-158.357|-200,79.0402|-200
331.081|151.056,10.6996|200
147.936|-200,-57.641|-200
-60.7428|200,-125.982|200
-60.7428|200,-194.322|-200
-60.7428|200,-261.033|190.46
-263.945|-189.502,-71.9352|-200
-197.075|200,121.783|200
-197.075|200,301.967|-172.055
-197.075|200,36.9273|200
-128.403|-200,-244.455|-194.997
-59.7314|200,-307.169|168.863
8.94052|-200,218.812|-199.113
77.6124|200,399.547|-13.4468
146.284|-200,245.356|194.789
214.861|199.447,-361.496|-117.979
223.331|-198.635,-43.8817|200
137.294|200,317.528|-161.825
137.294|200,133.073|200
137.294|200,133.073|200
50.9633|-200,133.073|200
-35.3677|200,-70.8437|-200
-121.699|-200,-268.579|187.875
-207.995|199.84,-178.357|-200
-260.092|-190.759,-85.3146|200
-57.7732|200,7.72773|-200
149.33|-200,100.77|200
331.088|151.049,193.812|-200
-161.663|-200,282.692|182.104
-397.417|-32.0421,7.61354|-200
-229.878|197.756,-270.976|186.982
280.592|-183.043,-231.776|-197.46
315.473|163.297,-53.9345|200
-338.196|-144.575,125.044|-200
-194.515|200,293.613|176.739
-27.7229|-200,60.8269|-200
139.069|200,-186.333|200
295.695|-175.62,-186.333|200
37.1861|200,-186.333|200
-235.869|-196.757,-372.476|-101.252
-323.346|157.435,388.273|-67.4791
302.814|-171.55,90.9827|200
305.271|170.053,-313.972|-164.348
-329.885|-152.085,-170.748|200
-216.452|199.322,-170.748|200
-10.1079|-200,-170.748|200
196.587|200,-13.5092|-200
196.587|200,143.73|200
196.587|200,292.13|-177.516
361.146|-118.457,43.2168|200
-399.423|15.1848,-219.869|-199.011
397.314|32.6708,-352.518|129.377
-282.394|-182.24,396.329|-38.1444
-390.128|62.0605,-378.667|89.8788
-151.672|200,-78.7978|-200
371.615|-102.705,-78.7978|-200
-117.552|200,-78.7978|-200
-398.265|26.2901,304.5|170.528
-186.186|-200,191.009|-200
188.694|200,68.491|200
188.694|200,-54.027|-200
188.694|200,-176.545|200
398.563|-23.9323,-292.17|-177.496
128.596|-200,1.2196|200
-360.675|119.094,293.902|-176.586
19.8664|-200,170.447|200
374.635|97.4822,39.3164|-200
-342.357|-140.479,-91.8143|200
-224.851|198.45,-222.528|-198.727
37.8462|-200,-258.136|191.364
288.087|179.557,-44.9189|-200
158.384|-200,173.003|200
21.6944|200,352.476|-129.426
-114.995|-200,-360.51|119.318
-249.553|193.764,-128.675|-200
-181.368|-200,161.736|200
-112.103|200,161.736|200
-112.103|200,161.736|200
-112.103|200,375.962|-95.0648
-42.8378|-200,-391.307|-58.3221
26.4272|200,-44.1155|200
26.4272|200,368.82|-107.237
26.4272|200,-204.134|199.957
95.6922|-200,-373.118|100.151
164.957|200,-375.403|-96.093
164.957|200,-208.789|-199.807
164.957|200,375.394|96.1085
233.726|-197.136,-125.75|-200
166.61|200,-395.879|-40.3898
99.0098|-200,-221.279|198.865
31.4096|200,225.175|-198.409
-36.1906|-200,393.165|51.8376
-103.791|200,90.4985|200
-171.391|-200,-396.299|-38.2985
-238.364|196.286,377.356|-92.4387
-150.325|-200,141.004|200
-61.461|200,-182.281|-200
27.4029|-200,-391.239|58.5447
116.267|200,71.0848|200
205.116|-199.935,367.484|109.312
270.543|187.146,337.465|-145.27
31.3149|-200,-279.178|-183.659
-215.485|199.4,-394.944|-44.6859
-353.443|-128.278,-351.268|130.836
396.047|39.5688,-182.281|200
-373.816|-98.9349,396.564|-36.9141
-114.85|200,-393.514|-50.519
229.742|-197.776,72.2226|200
366.095|111.411,398.494|24.4994
-377.633|91.905,152.189|-200
-182.332|-200,-271.966|186.604
85.2898|200,-306.086|-169.546
324.058|-156.874,275.203|185.323
-7.45575|200,355.279|-126.049
-332.451|-149.856,-376.889|-93.329
-38.3282|200,-194.962|200
282.846|-182.034,-194.962|200
223.315|198.636,-194.962|200
60.0075|-200,53.1229|-200
-103.859|200,53.1229|-200
-263.487|-189.656,53.1229|-200
-160.981|200,288.426|179.39
-55.7536|-200,145.279|-200
49.474|200,-5.64406|200
154.702|-200,-156.567|-200
257.693|191.498,-297.843|174.432
124.468|-200,-6.28907|-200
-11.6492|200,-6.28907|-200
-147.767|-200,-6.28907|-200
-278.432|183.979,288.931|179.14
-79.5235|-200,188.076|-200
127.684|200,81.6729|200
127.684|200,81.6729|200
127.684|200,81.6729|200
315.77|-163.087,-24.7306|-200
-27.039|200,-131.134|200
-345.464|-137.26,-131.134|200
56.0352|200,-131.134|200
384.897|-76.2442,-236.637|-196.616
-399.723|-10.518,-193.449|200
349.66|132.672,-149.891|-200
245.11|-194.846,-106.334|200
-133.197|200,-62.7764|-200
-133.197|200,-19.219|200
-133.197|200,24.3383|-200
-388.597|-66.5662,67.8957|200
322.365|-158.199,111.453|-200
357.918|122.727,155.01|200
-236.726|196.599,198.568|-200
-343.641|139.166,241.648|195.616
-397.663|30.4864,114.449|-200
-378.897|-89.4194,-14.1593|200
-294.255|-176.397,-142.768|-200
-166.337|-200,-267.592|188.232
372.915|-100.501,-113.239|-200
272.995|186.203,45.7928|200
-342.264|-140.573,204.802|-199.942
-156.125|200,326.504|154.909
62.4935|-200,-260.887|-190.507
273.47|186.017,-382.584|81.6272
174.029|-200,-12.3509|200
70.9873|200,386.392|72.512
70.9873|200,232.091|-197.409
70.9873|200,-212.293|199.622
-32.055|-200,-399.481|-14.4017
-135.097|200,-182.694|-200
-135.097|200,269.825|187.415
-135.097|200,321.927|-158.536
-237.239|-196.503,-349.693|132.635
-188.444|200,-154.899|-200
-139.219|-200,79.3453|200
-89.9934|200,298.425|-174.105
-40.7682|-200,94.3973|200
8.45702|200,-123.753|-200
57.6822|-200,-320.062|159.953
106.907|200,42.1276|-200
156.133|-200,361.742|117.641
205.349|199.928,-245.261|-194.811
232.781|-197.295,-399.58|12.9502
126.944|200,-219.706|199.027
20.3854|-200,309.846|-167.134
-86.173|200,237.247|196.501
-192.731|-200,-17.8571|-200
-293.157|176.98,-17.8571|-200
30.0129|-200,-17.8571|-200
331.011|151.116,-267.632|188.218
23.1715|-200,-221.667|-198.823
-302.663|171.64,-82.6938|200
-163.512|-200,56.6894|-200
-13.7436|200,196.073|200
136.025|-200,321.201|-159.092
279.606|183.474,-199.161|200
89.3867|-200,-199.161|200
-109.03|200,-199.161|200
-295.426|-175.766,-387.282|70.1812
-73.0822|200,-330.805|-151.294
163.601|-200,132.801|-200
355.999|125.157,276.136|-184.941
-366.454|-110.873,364.095|-114.336
-98.5107|200,399.864|-7.367
242.344|-195.466,372.067|101.946
341.043|141.799,289.544|178.835
-385.4|-75.0113,172.139|200
144.297|200,-372.102|101.886
385.497|74.7728,-275.944|-185.02
302.222|-171.903,350.361|131.878
-393.424|-50.8631,123.696|-200
-87.3277|200,-149.494|200
335.829|-146.801,-364.137|-114.276
93.9835|200,386.146|73.141
-184.962|-200,-109.123|-200
-382.103|82.6953,-395.53|-42.0463
320.296|159.778,-214.513|199.473
366.868|-110.25,187.392|-200
-12.547|-200,399.696|11.0193
-361.955|-117.348,162.194|200
-339.922|142.905,-303.916|-170.884
282.106|182.37,-231.526|197.5
396.946|34.817,-8.86073|-200
339.655|-143.166,214.894|199.445
146.805|-200,343.138|-139.684
-395.95|-40.0464,-367.447|109.369
-104.974|200,-78.8197|-200
325.864|-155.429,279.135|183.678
140.669|200,255.473|-192.153
-67.7488|-200,-27.4437|200
-269.645|187.482,-27.4437|200
-178.506|-200,-27.4437|200
-84.4237|200,-297.653|-174.539
9.65892|-200,-141.405|200
103.741|200,-141.405|200
197.824|-200,-141.405|200
287.2|179.989,25.465|-200
-14.6472|-200,192.334|200
-307.493|168.657,192.334|200
-123.203|-200,192.334|200
76.7542|200,336.68|-146.009
270.327|-187.228,-302.602|171.677
169.358|200,-313.446|-164.712
65.0579|-200,361.448|118.045
-39.2417|200,90.9026|-200
-143.541|-200,90.9026|-200
-246.417|194.539,90.9026|-200
-160.932|-200,-244.996|194.873
-74.2638|200,-333.221|-149.172
12.4044|-200,362.954|115.956
99.0726|200,98.04|-200
185.741|-200,-234.785|196.952
269.693|187.464,-353.002|-128.803
58.7778|-200,399.918|5.71683
-158.961|200,-373.932|98.7309
-343.605|-139.203,-143.115|-200
288.061|179.57,165.948|200
348.803|-133.633,382.937|-80.8345
-386.776|-71.5183,-343.185|-139.636
-131.191|200,-310.631|166.615
241.28|-195.693,394.672|-45.8548
354.994|126.4,-380.002|87.1739
-398.718|22.6053,-60.3608|-200
186.661|-200,330.726|151.363
341.859|-140.982,97.5537|-200
399.539|13.5752,-167.896|200
321.458|158.896,-370.259|-104.937
143.935|200,399.623|-12.2704
-384.292|77.6943,-314.02|164.315
-216.218|-199.341,-348.469|-134.003
125.422|200,356.044|-125.102
125.422|200,292.678|177.231
125.422|200,-370.961|-103.79
376.69|-93.7056,-3.39171|200
-399.902|-6.25564,-3.39171|200
354.576|126.91,-3.39171|200
228.322|-197.985,368.658|-107.492
-77.2621|200,-258.874|191.138
-340.283|-142.551,-395.441|-42.4597
91.3345|200,-171.9|-200
395.644|-41.5139,328.889|152.93
-215.771|-199.377,161.138|-200
-335.177|-147.402,-28.9855|200
-397.27|-32.9308,-218.693|-199.125
-375.725|95.5019,-314.015|164.318
-279.676|183.444,202.696|-199.982
-68.2297|200,390.939|-59.5168
303.96|170.858,315.849|163.031
399.24|17.4245,-324.186|156.773
332.039|-150.219,-382.664|-81.4483
139.178|-200,-161.051|-200
-389.652|-63.4984,379.123|88.9655
-180.025|200,-240.632|-195.829
-180.025|200,-399.088|-19.0814
-180.025|200,-277.088|184.546
138.196|-200,399.063|19.3357
374.727|97.3166,-75.0473|-200
-399.915|5.81542,-392.857|-52.973
353.675|-128,-219.967|199.001
232.104|197.407,191.988|-200
-89.2461|-200,191.988|-200
-354.079|127.513,191.988|-200
246.839|-194.438,399.995|1.46559
