p0,p1
-134.999|200,245.003|194.871
19.5119|-200,-378.479|-90.2512
174.023|200,143.564|200
314.595|-163.915,143.564|200
-101.032|200,143.564|200
-392.285|-55.0149,389.784|63.104
306.744|-169.132,279.186|-183.656
380.794|85.5183,-393.462|50.7184
113.125|200,379.617|-87.9652
-399.088|-19.0731,59.9715|200
303.511|-171.13,59.9715|200
376.706|93.6742,59.9715|200
62.4232|200,-330.378|-151.662
-394.798|45.3164,-98.6397|200
-148.479|-200,164.952|-200
247.427|194.295,164.952|-200
351.127|-130.998,164.952|-200
-399.936|-5.04698,368.128|108.319
326.582|154.845,-399.587|-12.8414
321.423|-158.923,396.884|-35.1688
-398.491|24.5251,-266.346|188.675
398.111|27.425,-399.105|-18.8952
-307.142|-168.881,-229.671|-197.787
-356.988|123.914,351.296|130.803
308.861|167.777,94.6811|-200
391.794|-56.7012,-215.165|199.424
200.133|-200,-377.495|-92.1712
-300.232|173.071,313.178|-164.896
-256.312|-191.909,380.646|85.8323
67.5403|200,125.547|200
345.874|-136.824,-397.104|-33.9092
-119.406|200,375.505|-95.9054
-119.406|200,150.26|200
-119.406|200,-154.223|-200
-399.976|-3.10914,-377.142|92.8483
-109.387|-200,391.425|57.935
360.971|118.695,40.0057|-200
-36.9977|-200,-371.857|102.299
-384.159|78.0086,253.612|-192.68
398.865|-21.2776,398.447|24.8765
-394.171|47.9346,204.393|199.952
197.184|-200,-266.376|-188.664
344.562|-138.209,-335.818|146.811
399.655|11.7482,389.723|-63.287
327.355|154.21,-270.996|186.975
167.787|200,-394.171|-47.9338
-396.334|38.1184,-173.702|-200
-91.4046|-200,332.922|149.438
343.332|139.485,147.903|-200
63.0348|-200,-63.8876|200
-259.699|190.882,-269.147|-187.666
-290.761|-178.22,-182.824|200
146.884|200,-93.7549|-200
399.184|-18.0427,-4.68547|200
90.0645|-200,84.384|-200
-383.773|78.9148,173.453|200
350.593|-131.612,260.441|-190.649
205.108|199.935,97.6175|200
4.6673|-200,-69.1032|-200
-195.806|200,-69.1032|-200
-357.695|-123.013,-69.1032|-200
395.03|44.3094,-234.569|196.99
-352.641|-129.231,-253.088|-192.826
-216.117|199.35,-43.6368|200
31.5576|-200,169.639|-200
271.45|186.802,348.002|134.52
202.862|-199.98,-333.297|-149.104
120.063|200,-232.689|197.31
120.063|200,45.6011|-200
120.063|200,304.942|170.256
37.2595|-200,105.674|-200
-45.5438|200,-109.602|200
-128.347|-200,-307.877|-168.412
-211.087|199.692,-30.3105|200
-247.902|-194.179,263.307|-189.716
-85.631|200,263.889|189.521
79.0369|-200,-31.4601|-200
241.879|195.566,-309.838|167.139
229.527|-197.808,-102.523|-200
94.2697|200,123.349|200
94.2697|200,324.617|-156.431
94.2697|200,-66.1521|200
-41.7327|-200,-380.305|-86.5463
-177.735|200,396.853|35.3389
-303.851|-170.924,-361.394|-118.118
51.6842|200,-184.744|200
